entity_text,entity_type,source_url,confidence,sentence_context
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"PR[AI]RIE has the ambitious objective of becoming a world leader in research and higher education in AI, with a real impact on the economy and society, driven by its founding members, world class academic institutions, industrial partners leading in their fields and a network of strong international partners."
one,CARDINAL,https://prairie-institute.fr,0.7,PR[AI]RIE is one of the 9 French AI-Clusters financed by France  for a total of 75m€ over 5 years ).
9,CARDINAL,https://prairie-institute.fr,0.7,PR[AI]RIE is one of the 9 French AI-Clusters financed by France  for a total of 75m€ over 5 years ).
AI-Clusters,ORG,https://prairie-institute.fr,0.9,PR[AI]RIE is one of the 9 French AI-Clusters financed by France  for a total of 75m€ over 5 years ).
France,GPE,https://prairie-institute.fr,0.9500000000000001,PR[AI]RIE is one of the 9 French AI-Clusters financed by France  for a total of 75m€ over 5 years ).
5 years,DATE,https://prairie-institute.fr,0.95,PR[AI]RIE is one of the 9 French AI-Clusters financed by France  for a total of 75m€ over 5 years ).
CNRS,ORG,https://prairie-institute.fr,0.9,"Its founding academic members are CNRS, Inria, Institut Pasteur, Université PSL and Université de Paris Cité."
Inria,GPE,https://prairie-institute.fr,0.9500000000000001,"Its founding academic members are CNRS, Inria, Institut Pasteur, Université PSL and Université de Paris Cité."
Université PSL,ORG,https://prairie-institute.fr,0.9,"Its founding academic members are CNRS, Inria, Institut Pasteur, Université PSL and Université de Paris Cité."
Université de Paris Cité,ORG,https://prairie-institute.fr,0.93,"Its founding academic members are CNRS, Inria, Institut Pasteur, Université PSL and Université de Paris Cité."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,Permanent Researchers from our partners with a proven record of excellence in AI.
80,CARDINAL,https://prairie-institute.fr,0.7,"80 Partner companies including GE HealthCare, Google DeepMind, Hermès, Meta, Valéo and startups."
GE HealthCare,ORG,https://prairie-institute.fr,0.9,"80 Partner companies including GE HealthCare, Google DeepMind, Hermès, Meta, Valéo and startups."
Google DeepMind,ORG,https://prairie-institute.fr,0.9,"80 Partner companies including GE HealthCare, Google DeepMind, Hermès, Meta, Valéo and startups."
Hermès,ORG,https://prairie-institute.fr,0.9,"80 Partner companies including GE HealthCare, Google DeepMind, Hermès, Meta, Valéo and startups."
Meta,ORG,https://prairie-institute.fr,0.9,"80 Partner companies including GE HealthCare, Google DeepMind, Hermès, Meta, Valéo and startups."
Research,ORG,https://prairie-institute.fr,0.9,"Research Our reasearch areas Research in PR[AI]RIE is organized in a double helix with two intertwined threads: (a) core AI methodological research, and (b) interdisciplinary work at the interface with sciences and applications."
two,CARDINAL,https://prairie-institute.fr,0.7,"Research Our reasearch areas Research in PR[AI]RIE is organized in a double helix with two intertwined threads: (a) core AI methodological research, and (b) interdisciplinary work at the interface with sciences and applications."
AI,ORG,https://prairie-institute.fr,0.9,"Research Our reasearch areas Research in PR[AI]RIE is organized in a double helix with two intertwined threads: (a) core AI methodological research, and (b) interdisciplinary work at the interface with sciences and applications."
the earliest days,DATE,https://prairie-institute.fr,0.98,"Since the earliest days of Artificial Intelligence, the study of human cognition has played an important role."
Artificial Intelligence,ORG,https://prairie-institute.fr,0.9,"Since the earliest days of Artificial Intelligence, the study of human cognition has played an important role."
first,ORDINAL,https://prairie-institute.fr,0.7,"The very first working code presented at the Dartmouth… Computer vision is the part of AI concerned with the automated interpretation of digital imagery, with very strong links with machine learning, natural image understanding and robotics… The Data Sciences Group at PRAIRIE is a dedicated team of experts specializing in the field of machine learning and its applications in health sciences and medical imaging."
Dartmouth,ORG,https://prairie-institute.fr,0.9,"The very first working code presented at the Dartmouth… Computer vision is the part of AI concerned with the automated interpretation of digital imagery, with very strong links with machine learning, natural image understanding and robotics… The Data Sciences Group at PRAIRIE is a dedicated team of experts specializing in the field of machine learning and its applications in health sciences and medical imaging."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"The very first working code presented at the Dartmouth… Computer vision is the part of AI concerned with the automated interpretation of digital imagery, with very strong links with machine learning, natural image understanding and robotics… The Data Sciences Group at PRAIRIE is a dedicated team of experts specializing in the field of machine learning and its applications in health sciences and medical imaging."
The Data Sciences Group,ORG,https://prairie-institute.fr,0.93,"The very first working code presented at the Dartmouth… Computer vision is the part of AI concerned with the automated interpretation of digital imagery, with very strong links with machine learning, natural image understanding and robotics… The Data Sciences Group at PRAIRIE is a dedicated team of experts specializing in the field of machine learning and its applications in health sciences and medical imaging."
The Networked Data Management,ORG,https://prairie-institute.fr,0.93,"The Networked Data Management group comprises a dedicated team of researchers specializing in various fields, including software verification, representation learning, distributed algorithms, and large-scale data management."
Artificial Intelligence and Organizational Sciences,ORG,https://prairie-institute.fr,0.93,"Double Bachelor‘s degree in Artificial Intelligence and Organizational Sciences, International Bachelor of Science in AI, CPES – Sciences data, arts & cultures."
International Bachelor of Science,ORG,https://prairie-institute.fr,0.93,"Double Bachelor‘s degree in Artificial Intelligence and Organizational Sciences, International Bachelor of Science in AI, CPES – Sciences data, arts & cultures."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"Double Bachelor‘s degree in Artificial Intelligence and Organizational Sciences, International Bachelor of Science in AI, CPES – Sciences data, arts & cultures."
CPES,ORG,https://prairie-institute.fr,0.9,"Double Bachelor‘s degree in Artificial Intelligence and Organizational Sciences, International Bachelor of Science in AI, CPES – Sciences data, arts & cultures."
arts & cultures,ORG,https://prairie-institute.fr,0.88,"Double Bachelor‘s degree in Artificial Intelligence and Organizational Sciences, International Bachelor of Science in AI, CPES – Sciences data, arts & cultures."
Executive,ORG,https://prairie-institute.fr,0.9,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
intelligence artificielle,PERSON,https://prairie-institute.fr,0.9,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
Certificat Data Sciences,ORG,https://prairie-institute.fr,0.93,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
Masterclasses,PERSON,https://prairie-institute.fr,0.9500000000000001,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
The Paris School of AI of Université PSL,ORG,https://prairie-institute.fr,0.93,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
10,CARDINAL,https://prairie-institute.fr,0.7,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
AI Fellows,ORG,https://prairie-institute.fr,0.9,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"Executive master statistique et big data, Executive master intelligence artificielle et science des données, Certificat Data Sciences, Masterclasses in AI, AI in medicine and Illumens programs… The Paris School of AI of Université PSL, a key part of the PR[AI]RIE AI-Cluster, has recruited 10 AI Fellows, international researchers at the forefront of AI, who will also participate in its teaching activities."
first,ORDINAL,https://prairie-institute.fr,0.7,"From my experiences, I would advice students who would like to work in this field to first find out research topics closest to their own studies or to their interests, then study not only fundamental courses in their major… Shuyu Dong AI Fellow Paris School of AI Université Paris Dauphine-PSL AI and neuroscience are in a virtuous loop."
Shuyu Dong AI,PERSON,https://prairie-institute.fr,0.9800000000000001,"From my experiences, I would advice students who would like to work in this field to first find out research topics closest to their own studies or to their interests, then study not only fundamental courses in their major… Shuyu Dong AI Fellow Paris School of AI Université Paris Dauphine-PSL AI and neuroscience are in a virtuous loop."
today,DATE,https://prairie-institute.fr,0.95,"On one hand, even “simple” nervous systems learn quickly, adapt online, and generalise from limited experience – capabilities today’s AI still struggles to match."
AI,GPE,https://prairie-institute.fr,0.9500000000000001,"On one hand, even “simple” nervous systems learn quickly, adapt online, and generalise from limited experience – capabilities today’s AI still struggles to match."
Vito Dichio,ORG,https://prairie-institute.fr,0.9,Vito Dichio AI Fellow Paris School of AI ENS-PSL I would also encourage students to stay curious about both theory and practice.
Bayesian,NORP,https://prairie-institute.fr,0.75,"Bayesian methods are deeply mathematical, but their power comes from being applied to real-world problems."
Mélodie,PERSON,https://prairie-institute.fr,0.9500000000000001,"Mélodie Monod AI Fellow Paris School of AI Université Paris Dauphine-PSL Gérer le consentement Pour offrir les meilleures expériences, nous utilisons des technologies telles que les cookies pour stocker et/ou accéder aux informations des appareils."
Pour,ORG,https://prairie-institute.fr,0.9,"Mélodie Monod AI Fellow Paris School of AI Université Paris Dauphine-PSL Gérer le consentement Pour offrir les meilleures expériences, nous utilisons des technologies telles que les cookies pour stocker et/ou accéder aux informations des appareils."
Le fait de consentir,ORG,https://prairie-institute.fr,0.93,Le fait de consentir à ces technologies nous permettra de traiter des données telles que le comportement de navigation ou les ID uniques sur ce site.
Le fait de ne,ORG,https://prairie-institute.fr,0.93,Le fait de ne pas consentir ou de retirer son consentement peut avoir un effet négatif sur certaines caractéristiques et fonctions.
un,ORG,https://prairie-institute.fr,0.85,Le fait de ne pas consentir ou de retirer son consentement peut avoir un effet négatif sur certaines caractéristiques et fonctions.
Fonctionnel Always,ORG,https://prairie-institute.fr,0.9,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
Le,ORG,https://prairie-institute.fr,0.9,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
dans,NORP,https://prairie-institute.fr,0.7,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
demandé par l’abonné,PERSON,https://prairie-institute.fr,0.93,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
l’utilisateur,GPE,https://prairie-institute.fr,0.9,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
dans,NORP,https://prairie-institute.fr,0.7,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
un,ORG,https://prairie-institute.fr,0.85,"Fonctionnel Always active Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques."
dans,NORP,https://prairie-institute.fr,0.7,Préférences Le stockage ou l’accès technique est nécessaire dans la finalité d’intérêt légitime de stocker des préférences qui ne sont pas demandées par l’abonné ou l’utilisateur.
l’utilisateur,GPE,https://prairie-institute.fr,0.9,Préférences Le stockage ou l’accès technique est nécessaire dans la finalité d’intérêt légitime de stocker des préférences qui ne sont pas demandées par l’abonné ou l’utilisateur.
Statistiques Le,PERSON,https://prairie-institute.fr,0.9500000000000001,Statistiques Le stockage ou l’accès technique qui est utilisé exclusivement à des fins statistiques.
dans,NORP,https://prairie-institute.fr,0.7,Le stockage ou l’accès technique qui est utilisé exclusivement dans des finalités statistiques anonymes.
d’une,PRODUCT,https://prairie-institute.fr,0.8,"En l’absence d’une assignation à comparaître, d’une conformité volontaire de la part de votre fournisseur d’accès à internet ou d’enregistrements supplémentaires provenant d’une tierce partie, les informations stockées ou extraites à cette seule fin ne peuvent généralement pas être utilisées pour vous identifier."
