entity_text,entity_type,source_url,confidence,sentence_context
National Institute for Research,ORG,https://inria.fr/en,0.93,"National Institute for Research in Digital Science and Technology Inria, an ecosystem Research & Innovation Internet of Things Wireless network standardisation, a key challenge for crisis management Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Digital Science and Technology Inria,ORG,https://inria.fr/en,0.93,"National Institute for Research in Digital Science and Technology Inria, an ecosystem Research & Innovation Internet of Things Wireless network standardisation, a key challenge for crisis management Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Research & Innovation,ORG,https://inria.fr/en,0.93,"National Institute for Research in Digital Science and Technology Inria, an ecosystem Research & Innovation Internet of Things Wireless network standardisation, a key challenge for crisis management Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Humanities Thinking,ORG,https://inria.fr/en,0.9,"National Institute for Research in Digital Science and Technology Inria, an ecosystem Research & Innovation Internet of Things Wireless network standardisation, a key challenge for crisis management Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Inria Portraits / Personnages,ORG,https://inria.fr/en,0.93,"National Institute for Research in Digital Science and Technology Inria, an ecosystem Research & Innovation Internet of Things Wireless network standardisation, a key challenge for crisis management Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Au cœur,PERSON,https://inria.fr/en,0.9500000000000001,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Tiffany Chalier,ORG,https://inria.fr/en,0.9,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
d’orchestre de la Data Humanities Thinking,ORG,https://inria.fr/en,0.88,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Inria Portraits / Personnages,ORG,https://inria.fr/en,0.93,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data Humanities Thinking differently about digital technology: the rise of humanities and social sciences at Inria Portraits / Personnages-clés"
Au cœur,PERSON,https://inria.fr/en,0.9500000000000001,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data"
